Port Name,Administrative Approach Rank_2020,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Year,,Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Year
CHIBA,134,-0.418,150,7,Ukraine,2020,,CHORNOMORSK,169,13.895,154,6.638,Ukraine,2021
CHIWAN,3,-5.202,27,58,Vietnam,2020,,CHU LAI,220,2.797,216,1.476,Vietnam,2021
CHORNOMORSK,230,0.449,274,-19,Italy,2020,,CIVITAVECCHIA,162,15.62,161,6.047,Italy,2021
CIVITAVECCHIA,175,-0.072,181,1,India,2020,,COCHIN,99,44.28,98,17.057,India,2021
COLOMBO,17,-3.209,33,53,Sri Lanka,2020,,COLOMBO,24,117.493,22,54.09,Sri Lanka,2021
COLON,100,-0.752,82,25,Panama,2020,,COLON,73,57.339,64,24.562,Panama,2021
CONAKRY,238,0.505,250,-11,Guinea,2020,,CONAKRY,242,-1.833,239,-0.481,Guinea,2021
CONSTANTZA,253,0.66,285,-22,Romania,2020,,CONSTANTZA,272,-12.712,261,-3.719,Romania,2021
COPENHAGEN,129,-0.471,142,8,Denmark,2020,,COPENHAGEN,206,4.97,227,0.266,Denmark,2021
CORONEL,282,1.203,158,6,Nicaragua,2020,,CORINTO,286,-21.337,283,-8.686,Nicaragua,2021
COTONOU,244,0.562,233,-8,Chile,2020,,CORONEL,39,100.17,49,33.796,Spain,2021
CRISTOBAL,170,-0.135,257,-14,Benin,2020,,COTONOU,348,-130.819,346,-54.931,Benin,2021
DA CHAN BAY TERMINAL ONE,31,-2.588,35,52,Panama,2020,,CRISTOBAL,134,24.246,185,4.443,Panama,2021
DAKAR,177,-0.031,120,12,China,2020,,DA CHAN BAY TERMINAL ONE,142,20.563,122,10.951,China,2021
DALIAN,33,-2.506,19,66,Senegal,2020,,DAKAR,303,-32.84,308,-17.575,Senegal,2021
DAMIETTA,250,0.65,297,-28,China,2020,,DALIAN,83,50.94,81,20.193,China,2021
DAMMAM,102,-0.737,92,20,Egypt,2020,,DAMIETTA,58,72.703,56,29.427,Egypt,2021
DANANG,84,-1.053,115,13,Saudi Arabia,2020,,DAMMAM,14,143.504,14,62.454,Saudi Arabia,2021
DAR ES SALAAM,324,2.561,324,-58,Vietnam,2020,,DANANG,161,15.78,156,6.541,Vietnam,2021
DAR ES SALAAM,361,-248.798,361,-105.753,Tanzania,2020,,DAR ES SALAAM,361,-248.798,361,-105.753,Tanzania,2021
DAVAO,143,-0.341,156,6,Philippines,2020,,DAVAO,274,-13.669,279,-6.968,Philippines,2021
DILISKELESI,54,-1.842,75,27,Turkey,2020,,DILISKELESI,77,54.305,70,23.442,Turkey,2021
DJIBOUTI,61,-1.59,93,19,the Republic oF Djibouti,2020,,DJIBOUTI,19,129.354,24,52.476, the Republic oF Djibouti,2021
DOUALA,298,1.51,302,-31,Cameroon,2020,,DOUALA,340,-106.203,340,-44.552,Cameroon,2021
DUBLIN,262,0.839,252,-12,the Republic of Ireland,2020,,DUBLIN,300,-30.607,299,-12.365,the Republic of Ireland,2021
DUNKIRK,118,-0.611,305,-33,France,2020,,DUNKIRK,350,-142.6,345,-53.157,France,2021
DURBAN,364,-386.098,351,-255,Albania,2020,,DURBAN,364,-386.098,363,-155.82,DURBAN,2021
DURBAN,349,8.082,363,-155.82,South Africa,2020,,DURRES,309,-37.626,319,-24.525,Albania,2021
DURRES,190,0.057,231,-7,the Netherlands,2020,,DUTCH HARBOR,332,-74.601,337,-40.159,the Netherlands,2021
DUTCH HARBOR,325,2.591,325,-60,Egypt,2020,,EL DEKHEILA,139,21.701,133,9.355,Egypt,2021
EL DEKHEILA,239,0.509,256,-14,Mexico,2020,,ENSENADA,102,43.588,86,20.013,Mexico,2021
ENSENADA,136,-0.378,125,11,United Kingdom,2020,,FELIXSTOWE,334,-86.502,336,-40.078,United Kingdom,2021
FELIXSTOWE,313,2.006,322,-55,Brazil,2020,,FORTALEZA,275,-14.807,278,-6.668,Brazil,2021
FORT−DE−FRANCE,125,-0.543,112,15,France,2020,,FORT-DE-FRANCE,122,28.535,127,10.42,France,2021
FREDERICIA,128,-0.493,138,9,Denmark,2020,,FREDERICIA,176,12.83,183,4.634,Denmark,2021
FREEPORT (BAHAMAS),152,-0.271,224,-6,Bahamas,2020,,FREEPORT (BAHAMAS),352,-157.072,351,-64.071,Bahamas,2021
FREEPORT (BAHAMAS),352,-157.072,216,-5,Sierra Leone,2020,,FREETOWN,268,-11.843,272,-5.691,Sierra Leone,2021
FREETOWN,220,0.35,319,-49,Australia,2020,,FREMANTLE,335,-90.529,328,-29.997,Australia,2021
FREMANTLE,326,2.716,21,61,China,2020,,FUZHOU,133,24.656,96,17.317,China,2021
FUZHOU,23,-2.829,214,-4,Sweden,2020,,GAVLE,252,-4.762,256,-3.18,Sweden,2021
GAVLE,213,0.242,131,10,Poland,2020,,GDANSK,203,6.155,199,2.722,Poland,2021
GDANSK,311,1.944,103,16,Poland,2020,,GDYNIA,255,-6.058,225,0.53,Poland,2021
GDYNIA,90,-0.942,79,26,Turkey,2020,,GEMLIK,113,36.099,105,15.943,Turkey,2021
GEMLIK,51,-1.892,282,-21,Italy,2020,,GENOA,337,-93.568,335,-39.902,Italy,2021
GENERAL SANTOS,278,1.148,331,-74,Guyana,2020,,GEORGETOWN (GUYANA),238,-0.963,229,0.21,Guyana,2021
GENOA,321,2.42,196,-1,Spain,2020,,GIJON,236,-0.544,224,0.596,Spain,2021
GIJON,187,0.013,212,-4,Italy,2020,,GIOIA TAURO,65,62.42,112,14.642,Italy,2021
GIOIA TAURO,142,-0.344,339,-87,Swden,2020,,GOTHENBURG,118,32.139,152,6.911,Scandinavia,2021
GOTHENBURG,341,4.653,222,-6,Scotland,2020,,GRANGEMOUTH,307,-36.219,316,-22.52,Scotland,2021
GRANGEMOUTH,243,0.56,6,92,China,2020,,GUANGZHOU,9,161.331,9,72.749,China,2021
GUANGZHOU,4,-5.162,338,-84,Ecuador,2020,,GUAYAQUIL,296,-29.497,302,-13.513,Ecuador,2021
GUAYAQUIL,336,3.647,161,5,France,2020,,GUSTAVIA,197,8.136,190,3.96,France,2021
GUSTAVIA,126,-0.528,153,6,Israel,2020,,HAIFA,196,8.497,247,-1.267,Israel,2021
HAIFA,225,0.384,60,33,Vietnam,2020,,HAIPHONG,63,67.12,63,24.603,Vietnam,2021
HAIPHONG,47,-1.953,116,12,Japan,2020,,HAKATA,128,26.746,117,12.58,Japan,2021
HAKATA,99,-0.758,25,59,Canada,2020,,HALIFAX,46,91.744,18,56.91,Canada,2021
HALIFAX,39,-2.365,38,51,Qatatr,2020,,HAMAD PORT,3,194.823,4,82.146,Qatatr,2021
HAMAD PORT,36,-2.411,191,0,Germany,2020,,HAMBURG,232,0.185,258,-3.518,Germany,2021
HAMBURG,280,1.176,171,3,India,2020,,HAZIRA,68,59.142,69,23.585,India,2021
HELSINGBORG,164,-0.196,185,0,Sweden,2020,,HELSINGBORG,168,14.121,167,5.739,Sweden,2021
HERAKLION,178,-0.03,7,89,Finland,2020,,HELSINKI,180,11.625,169,5.524,Finland,2021
"HONG KONG, HONG KONG SAR, CHINA",7,-4.276,242,-9,Greece,2020,,HERAKLION,216,3.267,212,1.578,Greece,2021
HOUSTON,266,0.878,273,-19,Hong Kong,2020,,HONG KONG,50,83.775,38,41.377,Hong Kong,2021
HUENEME,264,0.862,37,51,USA,2020,,HOUSTON,119,32.044,123,10.771,United States of America,2021
INCHEON,34,-2.422,320,-54,USA,2020,,HUENEME,269,-12.006,274,-6.11,United States of America,2021
IQUIQUE,342,4.766,272,-18,Brazil,2020,,IMBITUBA,51,82.974,106,15.827,Brazil,2021
ISKENDERUN,272,1.024,105,16,South Korea,2020,,INCHEON,52,82.106,53,31.82,South Korea,2021
ITAJAI,308,1.828,88,23,Chile,2020,,IQUIQUE,319,-53.887,311,-19.234,Chile,2021
ITAPOA,69,-1.376,269,-18,Turkey,2020,,ISKENDERUN,70,59.012,72,21.916,Turkey,2021
IZMIR,277,1.136,99,17,Brazil,2020,,ITAJAÍ,207,4.452,145,7.811,Brazil,2021
JACKSONVILLE,161,-0.215,63,31,Brazil,2020,,ITAPOA,72,57.826,60,26.592,Brazil,2021
JAWAHARLAL NEHRU PORT,56,-1.786,59,33,Turkey,2020,,IZMIR,253,-4.805,246,-1.093,Turkey,2021
JEBEL ALI,323,2.482,42,46,USA,2020,,JACKSONVILLE,100,44.256,94,17.677,United States of America,2021
JEDDAH,53,-1.862,108,15,India,2020,,JAWAHARLAL NEHRU PORT,54,79.672,50,33.142,India,2021
JOHOR,110,-0.669,57,33,United Arab Emirates,2020,,JEBEL ALI,38,100.226,42,37.549,United Arab Emirates,2021
JUBAIL,21,-2.898,220,-5,Saudi Arabia,2020,,JEDDAH,8,161.493,8,73.527,Saudi Arabia,2021
KALININGRAD,167,-0.159,4,99,Malaysia,2020,,JOHOR,80,52.565,79,20.597,Malaysia,2021
KAOHSIUNG,5,-4.669,80,26,Saudi Arabia,2020,,JUBAIL,249,-3.792,191,3.87,Saudi Arabia,2021
KARACHI,75,-1.292,64,31,Russia,2020,,KALININGRAD,276,-14.877,276,-6.574,Russia,2021
KEELUNG,65,-1.509,162,5,India,2020,,KAMARAJAR,84,50.258,71,22.441,India,2021
KHALIFA BIN SALMAN,140,-0.356,22,60,Taiwan,2020,,KAOHSIUNG,21,123.452,21,54.588,Taiwan,2021
KHALIFA PORT,26,-2.795,2,114,Pakistan,2020,,KARACHI,90,46.399,90,19.459,Pakistan,2021
KING ABDULLAH PORT,2,-5.684,286,-23,India,2020,,KATTUPALLI,106,41.494,95,17.567,India,2021
KINGSTON (JAMAICA),286,1.283,266,-17,Japan,2020,,KAWASAKI,211,4.222,249,-1.752,Japan,2021
KLAIPEDA,301,1.635,50,39,Taiwan,2020,,KEELUNG,67,59.776,77,20.716,Taiwan,2021
KOBE,19,-3.127,230,-7,Bahrain,2020,,KHALIFA BIN SALMAN,62,67.72,61,26.488,Bahrain,2021
KOPER,318,2.237,244,-10,Abu Dhabi,2020,,KHALIFA PORT,5,182.649,5,81.052,Abu Dhabi,2021
KOTKA,242,0.558,357,-74.427,Saudi Arabia,2020,,KING ABDULLAH PORT,1,217.914,1,93.387,Saudi Arabia,2021
KRIBI DEEP SEA PORT,355,-174.476,287,-24,Lithuania,2020,,KINGSTON (JAMAICA),131,25.432,128,10.158,Jamaica,2021
KRIBI DEEP SEA PORT,303,1.701,194,-1,Jamaica,2020,,KLAIPEDA,186,10.587,170,5.482,Lithuania,2021
KRISTIANSAND,186,0.008,296,-28,Japan,2020,,KOBE,40,99.002,37,41.998,Japan,2021
LA GUAIRA,305,1.737,289,-24,Cambodia,2020,,KOMPONG SOM,230,0.902,243,-0.874,Cambodia,2021
LA SPEZIA,241,0.548,278,-19,Slovenia,2020,,KOPER,129,26.321,218,1.152,Slovenia,2021
LAE,287,1.314,51,39,Finland,2020,,KOTKA,243,-2.04,231,-0.149,Finland,2021
LAEM CHABANG,55,-1.807,342,-114,Cameroon,2020,,KRIBI DEEP SEA PORT,355,-174.476,357,-74.427,Cameroon,2021
LAGOS (NIGERIA),358,-188.317,358,-80.295,Denmark,2020,,KRISHNAPATNAM,95,45.824,87,19.994,India,2021
LAGOS (NIGERIA),340,4.646,184,0,India,2020,,KRISTIANSAND,223,1.764,221,0.831,Denmark,2021
LARVIK,181,-0.015,187,0,Venezuela,2020,,LA GUAIRA,265,-10.037,263,-4.392,Venezuela,2021
LATAKIA,171,-0.135,23,60,Italy,2020,,LA SPEZIA,313,-47.346,309,-18.987,Italy,2021
LAZARO CARDENAS,25,-2.798,300,-30,New Guinea,2020,,LAE,301,-31.73,306,-16.182,New Guinea,2021
LE HAVRE,258,0.746,210,-3,Thailand,2020,,LAEM CHABANG,57,74.024,48,34.706,Thailand,2021
LEIXOES,206,0.201,31,54,Nigeria,2020,,LAGOS (NIGERIA),358,-188.317,358,-80.295,Nigeria,2021
LIANYUNGANG,37,-2.375,178,1,Norway,2020,,LARVIK,210,4.325,206,2.153,Norway,2021
LIMASSOL,192,0.063,262,-15,Syria,2020,,LATAKIA,174,13.064,173,5.061,Syria,2021
LIRQUEN,256,0.708,290,-24,Mexico,2020,,LAZARO CARDENAS,92,46.05,109,15.138,Mexico,2021
LIVORNO,251,0.658,332,-77,France,2020,,LE HAVRE,292,-26.886,286,-9.533,France,2021
LOME,288,1.332,180,1,Portugal,2020,,LEIXÕES,205,5.299,202,2.509,Portugal,2021
LONDON,82,-1.117,355,-73.209,China,2020,,LIANYUNGANG,78,53.418,73,21.818,China,2021
LONG BEACH,333,3.175,341,-96,Cyprus,2020,,LIMASSOL,147,18.415,172,5.203,Cyprus,2021
LONG BEACH,369,-952.47,370,-348.928,Chile,2020,,LIRQUEN,126,26.883,118,12.555,Chile,2021
LOS ANGELES,370,-954.086,369,-281.841,United Kingdom,2020,,LISBON,215,3.589,220,0.836,Portugal,2021
LOS ANGELES,328,2.899,337,-82,Portugal,2020,,LIVERPOOL (UNITED KINGDOM),322,-58.778,325,-29.027,United Kingdom,2021
LUANDA,366,-442.446,366,-174.675,Togo,2020,,LIVORNO,338,-96.571,333,-37.62,Italy,2021
LUANDA,350,8.383,343,-115,Italy,2020,,LOMÉ,349,-133.17,349,-56.728,Togo,2021
LYTTELTON,188,0.034,186,0,United Kingdom,2020,,LONDON,347,-124.535,355,-73.209,United Kingdom,2021
MAGDALLA,48,-1.943,45,42,USA,2020,,LONG BEACH,369,-952.47,370,-348.928,United States of America,2021
MALABO,263,0.859,254,-14,USA,2020,,LOS ANGELES,370,-954.086,369,-281.841,United States of America,2021
MALAGA,108,-0.69,129,10,Angola,2020,,LUANDA,366,-442.446,366,-174.675,Angola,2021
MANAUS,269,0.967,270,-18,New Zealand,2020,,LYTTELTON,314,-47.72,312,-19.801,New Zealand,2021
MANILA,322,2.445,276,-19,India,2020,,MAGDALLA,32,103.005,41,37.582,India,2021
MANZANILLO (MEXICO),275,1.07,145,8,Spain,2020,,MALAGA,137,22.325,140,8.27,Spain,2021
MAPUTO,299,1.533,306,-33,Brazil,2020,,MANAUS,263,-9.337,259,-3.644,Brazil,2021
MARIEL,191,0.057,197,-1,Philippines,2020,,MANILA,327,-67.096,324,-28.809,Philippines,2021
MARSAXLOKK,106,-0.698,101,16,Mexico,2020,,MANZANILLO (MEXICO),89,46.685,52,31.859,Mexico,2021
MARSEILLE,345,5.696,350,-238,Mozambique,2020,,MAPUTO,321,-58.683,323,-26.003,Mozambique,2021
MATADI,209,0.238,205,-2,Cuba,2020,,MARIEL,222,1.973,219,1.047,Cuba,2021
MAWAN,32,-2.557,29,56,Malta,2020,,MARSAXLOKK,74,54.994,74,21.723,Malta,2021
MEJILLONES,289,1.381,311,-38,France,2020,,MARSEILLE,315,-49.482,297,-12.209,France,2021
MELBOURNE,302,1.676,313,-40,the Republic of the Congo,2020,,MATADI,171,13.688,176,4.869,the Republic of the Congo,2021
MERSIN,214,0.275,83,25,Hong Kong,2020,,MAWAN,44,92.571,110,14.962,China,2021
MIAMI,200,0.149,114,14,France,2020,,MAYOTTE,294,-27.444,293,-11.873,France,2021
MOBILE,101,-0.745,132,10,Mexico,2020,,MAZATLAN,227,1.394,240,-0.524,Mexico,2021
MOGADISCIO,281,1.194,260,-15,Chile,2020,,MEJILLONES,231,0.86,241,-0.564,Chile,2021
MOJI,111,-0.663,123,11,Australia,2020,,MELBOURNE,308,-37.421,294,-11.938,Australia,2021
MOMBASA,331,3.14,335,-79,Turkey,2020,,MERSIN,34,102.273,28,49.791,Turkey,2021
MONTEVIDEO,273,1.033,328,-65,USA,2020,,MIAMI,29,105.762,39,40.559,United States of America,2021
MONTREAL,285,1.231,283,-22,USA,2020,,MOBILE,163,15.366,150,7.384,United States of America,2021
MUHAMMAD BIN QASIM,296,1.499,316,-42,Somalia,2020,,MOGADISCIO,259,-7.613,254,-2.435,Somalia,2021
MUNDRA,50,-1.902,44,43,Japan,2020,,MOJI,132,24.923,121,10.971,Japan,2021
MUUGA—PORT OF TALLINN,195,0.092,198,-1,Kenya,2020,,MOMBASA,293,-27.174,296,-12.177,Kenya,2021
NAGOYA,16,-3.251,48,41,Uruguay,2020,,MONTEVIDEO,284,-20.895,265,-4.983,Uruguay,2021
NAHA,92,-0.883,111,15,Canada,2020,,MONTREAL,311,-39.809,313,-20.272,Canada,2021
NANTES−ST NAZAIRE,255,0.693,246,-10,Pakistan,2020,,MUHAMMAD BIN QASIM,81,50.962,75,21.688,Pakistan,2021
NAPIER,240,0.513,261,-15,India,2020,,MUNDRA,48,86.563,46,35.568,India,2021
NAPLES,150,-0.28,207,-2,Estonia,2020,,MUUGA-PORT OF TALLINN,175,12.837,160,6.248,Estonia,2021
NASSAU,173,-0.109,189,0,Japan,2020,,NAGOYA,53,81.608,43,37.197,Japan,2021
NELSON,210,0.24,206,-2,Japan,2020,,NAHA,120,31.94,126,10.434,Japan,2021
NEMRUT BAY,329,2.97,326,-61,France,2020,,NANTES SAINT-NAZAIRE,105,41.619,104,16.047,France,2021
NEW MANGALORE,232,0.451,215,-4,New Zealand,2020,,NAPIER,290,-25.742,282,-8.561,New Zealand,2021
NEW ORLEANS,265,0.865,237,-9,Italy,2020,,NAPLES,283,-19.737,267,-5.039,Italy,2021
NEW YORK & NEW JERSEY,89,-0.969,127,10,Bahamas,2020,,NASSAU,212,4.013,208,1.92,Bahamas,2021
NGQURA,351,8.401,365,-170.593,New Zealand,2020,,NELSON,194,8.59,189,3.966,New Zealand,2021
NGQURA,363,-359.179,349,-190,Turkey,2020,,NEMRUT BAY,224,1.695,242,-0.745,Turkey,2021
NINGBO,24,-2.805,13,83,USA,2020,,NEW ORLEANS,115,34.153,108,15.404,United States of America,2021
NORRKOPING,124,-0.553,135,9,USA,2020,,NEW YORK AND NEW JERSEY,251,-4.321,251,-2.159,United States of America,2021
NOUAKCHOTT,356,-175.532,292,-25,China,2020,,NGQURA,363,-359.179,365,-170.593,South Africa,2021
NOUAKCHOTT,295,1.475,354,-70.175,South Africa,2020,,NINGBO,7,170.696,7,76.077,China,2021
NOUMEA,104,-0.721,124,11,Sweden,2020,,NORRKOPING,182,11.336,184,4.593,Sweden,2021
NOVOROSSIYSK,300,1.626,301,-30,Mauritania,2020,,NOUAKCHOTT,356,-175.532,354,-70.175,Mauritania,2021
OAKLAND,359,-207.413,360,-95.795,Russia,2020,,NOUMEA,88,46.92,93,18.277,France,2021
OAKLAND,332,3.163,334,-79,France,2020,,NOVOROSSIYSK,172,13.554,159,6.273,Russia,2021
ODESSA,189,0.046,265,-17,USA,2020,,OAKLAND,359,-207.413,360,-95.795,United States of America,2021
OITA,185,0.004,188,0,Ukraine,2020,,ODESSA,209,4.411,164,5.755,Ukraine,2021
OMAEZAKI,109,-0.68,121,11,Japan,2020,,OMAEZAKI,127,26.855,120,11.448,Japan,2021
ONNE,270,0.994,291,-25,Nigeria,2020,,ONNE,342,-111.104,343,-49.702,Nigeria,2021
OSAKA,67,-1.44,77,27,Japan,2020,,OSAKA,36,100.987,44,36.35,Japan,2021
OSLO,78,-1.192,91,20,Norway,2020,,OSLO,146,18.877,142,8.025,Norway,2021
OTAGO HARBOUR,314,2.023,288,-24,New Zealand,2020,,OTAGO HARBOUR,298,-30.113,292,-11.396,New Zealand,2021
OWENDO,245,0.563,271,-18,Gabon,2020,,OWENDO,302,-32.614,303,-13.583,Gabon,2021
PAITA,105,-0.705,94,19, Peru,2020,,PAITA,75,54.742,84,20.015,Peru,2021
PALERMO,172,-0.125,182,1,Italy,2020,,PALERMO,204,5.569,198,2.735,Italy,2021
PANJANG,247,0.573,229,-7,Indonesia,2020,,PANJANG,246,-2.779,236,-0.399,Indonesia,2021
PAPEETE,157,-0.227,167,4,France,2020,,PAPEETE,167,14.229,158,6.438,France,2021
PARANAGUA,252,0.659,107,16,Brazil,2020,,PARANAGUA,198,8.119,166,5.744,Brazil,2021
PECEM,59,-1.647,86,23,Brazil,2020,,PECEM,121,29.363,129,10.037,Brazil,2021
PENANG,139,-0.367,227,-7,Malaysia,2020,,PENANG,111,36.34,116,13.331,Malaysia,2021
PHILADELPHIA,83,-1.08,87,23,USA,2020,,PHILADELPHIA,55,74.759,58,28.729,United States of America,2021
PHILIPSBURG,194,0.09,192,0,Sint Maarten,2020,,PHILIPSBURG,177,12.744,174,5.027,Sint Maarten,2021
PIPAVAV,38,-2.371,39,48,India,2020,,PIPAVAV,26,109.823,34,43.713,India,2021
